,p,q,11,10,01,00
287,p = 0.03,", q = 0.04",1,1,1,0
288,p = 0.03,", q = 0.05",1,1,1,0
294,p = 0.04,", q = -0.10",1,1,1,0
295,p = 0.04,", q = -0.09",1,1,1,0
296,p = 0.04,", q = -0.08",1,1,1,0
297,p = 0.04,", q = -0.07",1,1,1,0
298,p = 0.04,", q = -0.06",1,1,1,0
299,p = 0.04,", q = -0.05",1,1,1,0
300,p = 0.04,", q = -0.04",1,1,1,0
301,p = 0.04,", q = -0.03",1,1,1,0
302,p = 0.04,", q = -0.02",1,1,1,0
303,p = 0.04,", q = -0.01",1,1,1,0
304,p = 0.04,", q = 0.00",1,1,1,0
305,p = 0.04,", q = 0.01",1,1,1,0
306,p = 0.04,", q = 0.02",1,1,1,0
307,p = 0.04,", q = 0.03",1,1,1,0
315,p = 0.05,", q = -0.10",1,1,1,0
316,p = 0.05,", q = -0.09",1,1,1,0
317,p = 0.05,", q = -0.08",1,1,1,0
318,p = 0.05,", q = -0.07",1,1,1,0
319,p = 0.05,", q = -0.06",1,1,1,0
320,p = 0.05,", q = -0.05",1,1,1,0
321,p = 0.05,", q = -0.04",1,1,1,0
322,p = 0.05,", q = -0.03",1,1,1,0
323,p = 0.05,", q = -0.02",1,1,1,0
324,p = 0.05,", q = -0.01",1,1,1,0
325,p = 0.05,", q = 0.00",1,1,1,0
326,p = 0.05,", q = 0.01",1,1,1,0
327,p = 0.05,", q = 0.02",1,1,1,0
336,p = 0.06,", q = -0.10",1,1,1,0
337,p = 0.06,", q = -0.09",1,1,1,0
338,p = 0.06,", q = -0.08",1,1,1,0
339,p = 0.06,", q = -0.07",1,1,1,0
340,p = 0.06,", q = -0.06",1,1,1,0
341,p = 0.06,", q = -0.05",1,1,1,0
342,p = 0.06,", q = -0.04",1,1,1,0
343,p = 0.06,", q = -0.03",1,1,1,0
344,p = 0.06,", q = -0.02",1,1,1,0
345,p = 0.06,", q = -0.01",1,1,1,0
346,p = 0.06,", q = 0.00",1,1,1,0
347,p = 0.06,", q = 0.01",1,1,1,0
357,p = 0.07,", q = -0.10",1,1,1,0
358,p = 0.07,", q = -0.09",1,1,1,0
359,p = 0.07,", q = -0.08",1,1,1,0
360,p = 0.07,", q = -0.07",1,1,1,0
361,p = 0.07,", q = -0.06",1,1,1,0
362,p = 0.07,", q = -0.05",1,1,1,0
363,p = 0.07,", q = -0.04",1,1,1,0
364,p = 0.07,", q = -0.03",1,1,1,0
365,p = 0.07,", q = -0.02",1,1,1,0
366,p = 0.07,", q = -0.01",1,1,1,0
378,p = 0.08,", q = -0.10",1,1,1,0
379,p = 0.08,", q = -0.09",1,1,1,0
380,p = 0.08,", q = -0.08",1,1,1,0
381,p = 0.08,", q = -0.07",1,1,1,0
382,p = 0.08,", q = -0.06",1,1,1,0
383,p = 0.08,", q = -0.05",1,1,1,0
384,p = 0.08,", q = -0.04",1,1,1,0
385,p = 0.08,", q = -0.03",1,1,1,0
386,p = 0.08,", q = -0.02",1,1,1,0
399,p = 0.09,", q = -0.10",1,1,1,0
400,p = 0.09,", q = -0.09",1,1,1,0
401,p = 0.09,", q = -0.08",1,1,1,0
402,p = 0.09,", q = -0.07",1,1,1,0
403,p = 0.09,", q = -0.06",1,1,1,0
404,p = 0.09,", q = -0.05",1,1,1,0
405,p = 0.09,", q = -0.04",1,1,1,0
